Text,Unit
Ada kecelakaan mobil di jalan raya,Ambulance
Laporan adanya ledakan di area pabrik,Ambulance
Saya melihat seseorang pingsan di trotoar,Ambulance
Ada kecelakaan di Jalan Raya XYZ, Ambulance
Dibutuhkan bantuan medis segera, Ambulance
Saya melihat orang terluka di taman,Ambulance
Ada kecelakaan mobil di persimpangan,Ambulance
Saya melihat seorang pria pingsan di jalanan,Ambulance
Seseorang pingsan di jalan raya,Ambulance
Seseorang terluka parah akibat kecelakaan mobil,Ambulance
Seseorang mengalami serangan jantung di kantor,Ambulance
Seseorang mengalami overdosis obat,Ambulance
Seseorang mengalami stroke di restoran,Ambulance
Seseorang mengalami luka bakar akibat asam di laboratorium,Ambulance
Seseorang mengalami reaksi alergi parah akibat makanan,Ambulance
Seseorang mengalami hipotermia akibat terjebak di salju,Ambulance
Seseorang mengalami pendarahan akibat pisau dapur,Ambulance
Seseorang mengalami dehidrasi akibat cuaca panas,Ambulance
Seseorang mengalami kejang akibat epilepsi,Ambulance
Seseorang mengalami luka tembak akibat mainan anak-anak,Ambulance
Seseorang mengalami keracunan makanan akibat makan sushi basi,Ambulance
Seseorang mengalami luka robek akibat anjing gigit,Ambulance
Seseorang mengalami luka tusuk akibat jarum suntik bekas,Ambulance
Seseorang mengalami luka lecet akibat jatuh dari sepeda,Ambulance
Seseorang mengalami luka bakar matahari akibat berjemur,Ambulance
Seseorang mengalami luka sayat akibat kertas,Ambulance
Seseorang mengalami luka bakar lidah akibat minuman panas,Ambulance
Seseorang terkena kecelakaan mobil parah di jalan raya,Ambulance
Ada kebakaran di gedung apartemen ada korban luka parah,Ambulance
Tolong ada seseorang yang pingsan dan tidak sadarkan diri di taman,Ambulance
Saya melihat seorang wanita mengalami serangan jantung di kantor,Ambulance
Ada seorang anak yang terjatuh dari tangga dan mengalami luka parah,Ambulance
Seseorang mengalami pendarahan hebat setelah kecelakaan motor,Ambulance
Saya mendapati seseorang dengan luka bakar akibat ledakan gas di rumahnya,Ambulance
Tolong ada orang yang tersambar petir di lapangan olahraga,Ambulance
Saya mengalami kecelakaan mobil dan saya terjebak di dalamnya,Ambulance
Saya tidak bisa bernapas dengan baik dan saya merasakan sakit yang hebat di dada saya,Ambulance
Saya tidak bisa bergerak dan saya merasakan sakit yang hebat di dada dan kaki saya,Ambulance

Saya melihat seseorang mencurigakan di sekitar rumah,Police
Saya membutuhkan bantuan segera,Police
Terjadi kecelakaan kereta api,Police
Ada orang melanggar lalu lintas,Police
Ada perampokan di toko ABC, Police
Ada serangan teroris di pusat perbelanjaan,Police
Ada perampokan di toko emas,Police
Ada ancaman bom di bandara,Police
Ada penembakan di sekolah,Police
Ada penculikan anak di taman,Police
Ada perkelahian di bar,Police
Ada pengrusakan di museum,Police
Ada pembunuhan di hotel,Police
Ada pemerasan di bank,Police
Ada penyerangan di rumah sakit,Police
Ada pencurian mobil di parkiran,Police
Ada penganiayaan di rumah,Police
Ada penipuan di toko online,Police
Ada pelecehan seksual di kereta api,Police
Ada pembobolan kartu kredit di ATM,Police
Ada penggelapan uang di perusahaan,Police
Ada pencemaran lingkungan akibat limbah pabrik,Police
Ada pembakaran hutan akibat petasan,Police
Ada perusakan hutan akibat pembalakan liar,Police
Ada penyalahgunaan narkoba di klub malam,Police
Ada pengrusakan patung akibat vandalisme,Police
Ada penipuan undian berhadiah di telepon,Police
Ada pencurian data pribadi di internet,Police
Pencurian di toko swalayan, Police
Kecelakaan lalu lintas di jalan raya, Police
Penyerangan di rumah sakit jiwa, Police
Pembunuhan di apartemen mewah,Police
Pemerasan di kantor pemerintahan,Police
Pelecehan seksual di sekolah,Police
Penipuan online di media sosial,Police
Pembakaran hutan di daerah konservasi,Police
Penangkapan narkoba di bandara,Police
Penyanderaan di bank,Police
Pengrusakan tempat ibadah,Police
Penganiayaan di lapangan sepak bola,Police
Pelanggaran karantina di hotel,Police
Penyelundupan senjata di pelabuhan,Police
Penggelapan uang di perusahaan,Police
Penculikan anak di taman bermain,Police
Pengancaman bom di gedung bioskop,Police
Pemerkosaan di tempat parkir,Police
Pembobolan ATM di mal,Police
Penembakan massal di universitas,Police
Saya sedang mengalami keadaan darurat tentang kemalingan,Police
Seseorang telah mencuri dompet saya di pasar dan melarikan diri dengan sepeda motor,Police
Saya membutuhkan bantuan dari polisi untuk melacak dan menangkap pencuri itu,Police

Terdapat kebakaran di gedung bertingkat,Firefighter
Ada kebakaran di pusat perbelanjaan,Firefighter
Saya melihat asap di gedung A, Firefighter
Terdapat kebakaran di rumah warga, Firefighter
Butuh bantuan pemadam kebakaran,Firefighter
Ada kebakaran di gedung apartemen,Firefighter
Seseorang tersengat listrik di rumah,Firefighter
Seseorang terjebak di lift,Firefighter
Seseorang terbakar akibat kompor gas bocor,Firefighter
Seseorang terkena petir di lapangan golf,Firefighter
Seseorang terjatuh dari tangga,Firefighter
Seseorang terkena ledakan di pabrik,Firefighter
Seseorang tersambar kereta api,Firefighter
Seseorang terkena serpihan kaca akibat jendela pecah,Firefighter
Seseorang terkena asap akibat rokok elektrik meledak,Firefighter
Seseorang terkena sengatan lebah,Firefighter
Seseorang terkena pohon tumbang akibat angin kencang,Firefighter
Seseorang terkena benda tajam akibat sampah berserakan,Firefighter
Seseorang terkena gas beracun akibat bocornya pipa gas alam,Firefighter
Seseorang terkena api unggun akibat berkemah,Firefighter
Seseorang terkena banjir akibat hujan deras,Firefighter
Seseorang terkena longsor akibat gempa bumi,Firefighter
Seseorang terkena kebakaran rumput akibat puntung rokok,Firefighter
Seseorang terkena kebakaran mobil akibat tabrakan,Firefighter
Seseorang terkena kebakaran kapal akibat mesin rusak,Firefighter
Seseorang terkena kebakaran pesawat akibat petir,Firefighter
Seseorang terkena kebakaran gedung perkantoran akibat korsleting listrik,Firefighter
Kebakaran hebat di pabrik kimia,Firefighter
Kebakaran rumah tinggal akibat korsleting listrik,Firefighter
Kebakaran hutan di dekat permukiman warga,Firefighter
Kebakaran mobil di jalan tol,Firefighter
Kebakaran kapal di pelabuhan,Firefighter
Kebocoran gas di apartemen,Firefighter
Kebakaran gedung perkantoran,Firefighter
Kebakaran pasar tradisional,Firefighter
Terjadi kebakaran di rumah saya,Firefighter
Ada kebakaran di gedung perkantoran,Firefighter
Ada kebakaran di pusat perbelanjaan,Firefighter
Terjadi kebakaran di pabrik,Firefighter
Ada kebakaran di apartemen,Firefighter
Ada kebakaran di gedung bertingkat,Firefighter
Ada kebakaran di sekolah,Firefighter
Ada kebakaran di rumah sakit,Firefighter
Terjadi ledakan gas di restoran,Firefighter
Terjadi kebocoran bahan kimia di laboratorium,Firefighter
